PassengerId,Survived,Pclass,Sex,SibSp,Parch,Embarked,Title,Group_size,Fare_Cat,Age_Cat
1,0,3,male,1,0,S,Mr,couple,1-10,15-30
2,1,1,female,1,0,C,Mrs,couple,70-100,30-45
3,1,3,female,0,0,S,Miss,solo,1-10,15-30
4,1,1,female,1,0,S,Mrs,couple,40-70,30-45
5,0,3,male,0,0,S,Mr,solo,1-10,30-45
6,0,3,male,0,0,Q,Mr,solo,1-10,15-30
7,0,1,male,0,0,S,Mr,solo,40-70,45-60
8,0,3,male,3,1,S,Master,large group,10-25,0-15
9,1,3,female,0,2,S,Mrs,group,10-25,15-30
10,1,2,female,1,0,C,Mrs,couple,25-40,0-15
11,1,3,female,1,1,S,Miss,group,10-25,0-15
12,1,1,female,0,0,S,Miss,solo,25-40,45-60
13,0,3,male,0,0,S,Mr,solo,1-10,15-30
14,0,3,male,1,5,S,Mr,large group,25-40,30-45
15,0,3,female,0,0,S,Miss,solo,1-10,0-15
16,1,2,female,0,0,S,Mrs,solo,10-25,45-60
17,0,3,male,4,1,Q,Master,large group,25-40,0-15
18,1,2,male,0,0,S,Mr,solo,10-25,30-45
19,0,3,female,1,0,S,Mrs,couple,10-25,30-45
20,1,3,female,0,0,C,Mrs,solo,1-10,30-45
21,0,2,male,0,0,S,Mr,couple,25-40,30-45
22,1,2,male,0,0,S,Mr,solo,10-25,30-45
23,1,3,female,0,0,Q,Miss,solo,1-10,
24,1,1,male,0,0,S,Mr,solo,25-40,15-30
25,0,3,female,3,1,S,Miss,large group,10-25,0-15
26,1,3,female,1,5,S,Mrs,large group,25-40,30-45
27,0,3,male,0,0,C,Mr,solo,1-10,15-30
28,0,1,male,3,2,S,Mr,large group,100+,15-30
29,1,3,female,0,0,Q,Miss,solo,1-10,15-30
30,0,3,male,0,0,S,Mr,solo,1-10,15-30
31,0,1,male,0,0,C,Rare Title,solo,25-40,30-45
32,1,1,female,1,0,C,Mrs,couple,100+,30-45
33,1,3,female,0,0,Q,Miss,solo,1-10,15-30
34,0,2,male,0,0,S,Mr,solo,10-25,60+
35,0,1,male,1,0,C,Mr,couple,70-100,15-30
36,0,1,male,1,0,S,Mr,couple,40-70,30-45
37,1,3,male,0,0,C,Mr,solo,1-10,15-30
38,0,3,male,0,0,S,Mr,solo,1-10,15-30
39,0,3,female,2,0,S,Miss,group,10-25,15-30
40,1,3,female,1,0,C,Miss,couple,10-25,0-15
41,0,3,female,1,0,S,Mrs,couple,1-10,30-45
42,0,2,female,1,0,S,Mrs,couple,10-25,15-30
